2015/01/28 17:50:38.420 ::: Debug -- USB Device #0 is UNattached.

2015/01/28 18:44:42.117 ::: Debug -- USB Device #? is UNattached.

2015/01/28 18:44:42.164 ::: Debug -- USB Device #0 is UNattached.

2015/01/28 18:44:42.222 ::: Debug -- USB Device #1 is UNattached.

2015/01/28 18:44:42.275 ::: Debug -- USB Device #2 is UNattached.

2015/01/28 18:44:42.345 ::: Debug -- USB Device #3 is UNattached.

2015/01/28 18:44:42.398 ::: Debug -- USB Device #4 is UNattached.

2015/01/28 18:44:42.456 ::: Debug -- USB Device #5 is UNattached.

2015/01/28 18:44:42.548 ::: Debug -- USB Device #6 is UNattached.

2015/01/28 18:44:42.622 ::: Debug -- USB Device #7 is UNattached.

2015/01/28 18:44:42.690 ::: Debug -- USB Device #8 is UNattached.

2015/01/28 18:44:42.742 ::: Debug -- USB Device #9 is UNattached.

2015/01/28 18:44:47.751 ::: Debug -- USB Device #? is UNattached.

2015/01/28 18:44:47.803 ::: Debug -- USB Device #0 is attached.

2015/01/28 18:44:47.811 ::: Debug -- USB Device #0 is attached.

2015/01/28 18:44:47.859 ::: Debug -- USB Device #1 is UNattached.

2015/01/28 18:44:47.922 ::: Debug -- USB Device #2 is UNattached.

2015/01/28 18:44:47.990 ::: Debug -- USB Device #3 is UNattached.

2015/01/28 18:44:48.060 ::: Debug -- USB Device #4 is UNattached.

2015/01/28 18:44:48.073 ::: Debug -- Q-Berry CNT Hz
QBW v1.0.0
(C)2015 David Quesenberry - http:/
2015/01/28 18:44:48.135 ::: Debug -- USB Device #5 is UNattached.

2015/01/28 18:44:48.195 ::: Debug -- USB Device #6 is UNattached.

2015/01/28 18:44:48.277 ::: Debug -- USB Device #7 is UNattached.

2015/01/28 18:44:48.292 ::: Debug -- /www.QBytesWorld.com
USB Device Initialised.
2015/01/28 18:44:48.349 ::: Debug -- USB Device #8 is UNattached.

2015/01/28 18:44:48.412 ::: Debug -- USB Device #9 is UNattached.

2015/01/28 18:44:48.428 ::: Debug --          0        12        D3        42        3B         0 -->    312,201,914     1,000,000  

2015/01/28 18:44:49.383 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:44:50.405 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:44:51.410 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:44:52.427 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:44:53.439 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:44:54.466 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:44:55.462 ::: Debug --          0         0         8        5F        39         0 -->    544,482     1,000,000  

2015/01/28 18:44:56.484 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:44:57.488 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:44:58.504 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:44:59.537 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:00.541 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:01.553 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:02.567 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:03.380 ::: Debug --          0         0         5        13        DB         0 -->    330,189     1,000,000  

2015/01/28 18:45:04.402 ::: Debug --          0         0         C        D9         0         0 -->    835,635     1,000,000  

2015/01/28 18:45:05.410 ::: Debug --          0         0         C        47        FA         0 -->    798,655     1,000,000  

2015/01/28 18:45:06.420 ::: Debug --          0         0         F        42        3C         0 -->    992,265     1,000,000  

2015/01/28 18:45:07.438 ::: Debug --          0         0         2        CE         3         0 -->    182,583     1,000,000  

2015/01/28 18:45:08.458 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

2015/01/28 18:45:09.465 ::: Debug --          0         0         0         0         0         0 -->    0     1,000,000  

